supplrAdr_street;supplrAdr_town;supplrAdr_country;supplrAdr_name;supplrAdr_principal
14, rue Sarah Bernhardt;92600 Asnières-sur-Seine;FR;headquarters;yes
34 rue Maurice De Broglie;93600 AULNAY SOUS BOIS;FR;headquarters;yes
"SG CHALONS EN CHAMPAGNE (01691)
45 RUE DE LA MARNE";51000 CHALONS-EN-CHAMPAGNE;FR;headquarters;yes
31 rue Royale ;25300 CHAFFOIS;FR;headquarters;yes
"GIMASopoAo
Via Marconi, 1";20060 Gessate (Ml)- ltaly;IT;headquarters;yes
122, Chemin de la Cavée;78630 Orgeval;FR;headquarters;yes
ZI DE LA TUILERIE;60290 NEUILLY SOUS CLERMONT;FR;headquarters;yes
2 Allée Ernest Nouel;41100 VENDOME ;FR;headquarters;yes
ZA DU BUISSOND ROND LES TRIBOULIERES;38460 VILLEMOIRIEU;FR;headquarters;yes
Les ravières;25330 BOLANDOZ;FR;headquarters;yes
122, Chemin de la Cavée;78630 ORGEVAL;FR;headquarters;yes
5 rue Thalès;25410 Dannemarie sur Crête ;FR;headquarters;yes
11 Chem. de la Pierre Blanche; 69800 Saint-Priest;FR;headquarters;yes
3R Rioz Rhin Rhône BOULOT;70190 BOULOT;FR;headquarters;yes
Spurkt 1;5804 AR, Venray;NL;headquarters;yes
ZA A. Nicoray;25870 AUXON-DESSOUS;FR;headquarters;yes
25, rue Clément Marot;25050 BESANCON CEDEX 5;FR;headquarters;yes
"
No.9 Gao Xin 1st Road, Hi-Tech Zone, ";Xi’an, Shan\'xi, China, 710075;CH;headquarters;yes
58, chemin de la Bruyère;69570 Dardilly;FR;headquarters;yes
Maarweg 30, ;D-53619 Rheinbreitbach;DE;headquarters;yes
3, Rue de la Chapelle;F-67630 Lauterbourg;FR;headquarters;yes
Rue des Métiers - Z.A de la Caille;49340 NAUILLE;FR;headquarters;yes
49, avenue des Pépinières Parc Médicis;94260 Fresnes;FR;headquarters;yes
"15 rue des découvertes 
ZAC des Bousquets ";83390 CUERS ;FR;headquarters;yes
ROOM 204, Floor 2, Building 8, Changzhou Innovation Park,;Hutang Town, Wujin District, Changzhou City,  213100;CH;headquarters;yes
7 RUE GEORGES MELIES;69680 CHASSIEU France;FR;headquarters;yes
6 Rue André Gide,; 92320 Chatillon;FR;headquarters;yes
First floor, Building 6, No. 309, Heping Street, Economic Development Zone,; Jiaxing City, Zhejiang Province;CH;headquarters;yes
